,rates,start_at,base,end_at
2018-10-01,"{'EUR': 0.1341255684, 'USD': 0.1556661346, 'GBP': 0.1194763738}",2018-01-01,DKK,2021-01-01
2018-10-02,"{'EUR': 0.1341183729, 'USD': 0.1548128378, 'GBP': 0.1194230228}",2018-01-01,DKK,2021-01-01
2018-10-03,"{'EUR': 0.1341075811, 'USD': 0.1548674347, 'GBP': 0.1192149342}",2018-01-01,DKK,2021-01-01
2018-10-04,"{'EUR': 0.1341075811, 'USD': 0.1542505398, 'GBP': 0.1187924953}",2018-01-01,DKK,2021-01-01
2018-10-05,"{'EUR': 0.1340680261, 'USD': 0.1542586708, 'GBP': 0.1182010752}",2018-01-01,DKK,2021-01-01
2018-10-08,"{'EUR': 0.1340500543, 'USD': 0.1538626523, 'GBP': 0.1179774528}",2018-01-01,DKK,2021-01-01
2018-10-09,"{'EUR': 0.1340626341, 'USD': 0.1533006221, 'GBP': 0.1175461175}",2018-01-01,DKK,2021-01-01
2018-10-10,"{'EUR': 0.1340464605, 'USD': 0.1541534296, 'GBP': 0.1172209488}",2018-01-01,DKK,2021-01-01
2018-10-11,"{'EUR': 0.1340428669, 'USD': 0.1551546184, 'GBP': 0.1172741043}",2018-01-01,DKK,2021-01-01
2018-10-12,"{'EUR': 0.1340446637, 'USD': 0.1551432937, 'GBP': 0.1174767433}",2018-01-01,DKK,2021-01-01
2018-10-15,"{'EUR': 0.1340320873, 'USD': 0.1552225603, 'GBP': 0.1180085512}",2018-01-01,DKK,2021-01-01
2018-10-16,"{'EUR': 0.1340320873, 'USD': 0.1553029795, 'GBP': 0.1174027262}",2018-01-01,DKK,2021-01-01
2018-10-17,"{'EUR': 0.1340410702, 'USD': 0.1545493539, 'GBP': 0.1178824192}",2018-01-01,DKK,2021-01-01
2018-10-18,"{'EUR': 0.1340374769, 'USD': 0.1542101171, 'GBP': 0.1177425408}",2018-01-01,DKK,2021-01-01
2018-10-19,"{'EUR': 0.1340374769, 'USD': 0.153740986, 'GBP': 0.1179797871}",2018-01-01,DKK,2021-01-01
2018-10-22,"{'EUR': 0.1340428669, 'USD': 0.1540688712, 'GBP': 0.1185274051}",2018-01-01,DKK,2021-01-01
2018-10-23,"{'EUR': 0.1340428669, 'USD': 0.1538544026, 'GBP': 0.118095787}",2018-01-01,DKK,2021-01-01
2018-10-24,"{'EUR': 0.1340410702, 'USD': 0.1526593748, 'GBP': 0.1182684575}",2018-01-01,DKK,2021-01-01
2018-10-25,"{'EUR': 0.1340302908, 'USD': 0.15300898, 'GBP': 0.1186610374}",2018-01-01,DKK,2021-01-01
2018-10-26,"{'EUR': 0.1340356803, 'USD': 0.1520634793, 'GBP': 0.1188628413}",2018-01-01,DKK,2021-01-01
2018-10-29,"{'EUR': 0.1340231056, 'USD': 0.1525316965, 'GBP': 0.118996435}",2018-01-01,DKK,2021-01-01
2018-10-30,"{'EUR': 0.1340231056, 'USD': 0.1524110757, 'GBP': 0.1194789182}",2018-01-01,DKK,2021-01-01
2018-10-31,"{'EUR': 0.1340231056, 'USD': 0.1516873509, 'GBP': 0.1191103546}",2018-01-01,DKK,2021-01-01
2018-11-01,"{'EUR': 0.1340410702, 'USD': 0.1527129913, 'GBP': 0.1181880328}",2018-01-01,DKK,2021-01-01
2018-11-02,"{'EUR': 0.1340428669, 'USD': 0.1530367411, 'GBP': 0.1177834672}",2018-01-01,DKK,2021-01-01
2018-11-05,"{'EUR': 0.1340554453, 'USD': 0.1524210413, 'GBP': 0.1173454341}",2018-01-01,DKK,2021-01-01
2018-11-06,"{'EUR': 0.1340608368, 'USD': 0.1532047243, 'GBP': 0.1170525384}",2018-01-01,DKK,2021-01-01
2018-11-07,"{'EUR': 0.1340518513, 'USD': 0.1539853615, 'GBP': 0.1171653396}",2018-01-01,DKK,2021-01-01
2018-11-08,"{'EUR': 0.1340536483, 'USD': 0.1531428878, 'GBP': 0.1168451814}",2018-01-01,DKK,2021-01-01
2018-11-09,"{'EUR': 0.1340590396, 'USD': 0.1521033863, 'GBP': 0.1167024157}",2018-01-01,DKK,2021-01-01
2018-11-12,"{'EUR': 0.1340536483, 'USD': 0.1510114348, 'GBP': 0.117381396}",2018-01-01,DKK,2021-01-01
2018-11-13,"{'EUR': 0.1340249018, 'USD': 0.1509254419, 'GBP': 0.1165279509}",2018-01-01,DKK,2021-01-01
2018-11-14,"{'EUR': 0.1340105332, 'USD': 0.1513782983, 'GBP': 0.116653489}",2018-01-01,DKK,2021-01-01
2018-11-15,"{'EUR': 0.1340087374, 'USD': 0.1514968776, 'GBP': 0.1184235212}",2018-01-01,DKK,2021-01-01
2018-11-16,"{'EUR': 0.1340159211, 'USD': 0.1520544641, 'GBP': 0.1184030663}",2018-01-01,DKK,2021-01-01
2018-11-19,"{'EUR': 0.1340033501, 'USD': 0.1531256281, 'GBP': 0.1193742044}",2018-01-01,DKK,2021-01-01
2018-11-20,"{'EUR': 0.1339997588, 'USD': 0.1530411245, 'GBP': 0.1191365056}",2018-01-01,DKK,2021-01-01
2018-11-21,"{'EUR': 0.1340177171, 'USD': 0.1529008135, 'GBP': 0.1194205074}",2018-01-01,DKK,2021-01-01
2018-11-22,"{'EUR': 0.1340195132, 'USD': 0.1528224509, 'GBP': 0.1187386083}",2018-01-01,DKK,2021-01-01
2018-11-23,"{'EUR': 0.1340159211, 'USD': 0.1521348736, 'GBP': 0.118577287}",2018-01-01,DKK,2021-01-01
2018-11-26,"{'EUR': 0.1340266981, 'USD': 0.1522945371, 'GBP': 0.1185332118}",2018-01-01,DKK,2021-01-01
2018-11-27,"{'EUR': 0.1340177171, 'USD': 0.15181527, 'GBP': 0.1189380436}",2018-01-01,DKK,2021-01-01
2018-11-28,"{'EUR': 0.1340195132, 'USD': 0.1512276187, 'GBP': 0.1182655195}",2018-01-01,DKK,2021-01-01
2018-11-29,"{'EUR': 0.1340087374, 'USD': 0.1525957492, 'GBP': 0.1194486881}",2018-01-01,DKK,2021-01-01
2018-11-30,"{'EUR': 0.1340087374, 'USD': 0.1522205248, 'GBP': 0.1193589022}",2018-01-01,DKK,2021-01-01
2018-12-03,"{'EUR': 0.1340087374, 'USD': 0.1518587012, 'GBP': 0.1194687894}",2018-01-01,DKK,2021-01-01
2018-12-04,"{'EUR': 0.1340015544, 'USD': 0.1528823734, 'GBP': 0.1193391043}",2018-01-01,DKK,2021-01-01
2018-12-05,"{'EUR': 0.1339943722, 'USD': 0.1521372102, 'GBP': 0.1191008978}",2018-01-01,DKK,2021-01-01
2018-12-06,"{'EUR': 0.1339853956, 'USD': 0.1520868225, 'GBP': 0.1191532123}",2018-01-01,DKK,2021-01-01
2018-12-07,"{'EUR': 0.1339746252, 'USD': 0.1523425463, 'GBP': 0.1193512949}",2018-01-01,DKK,2021-01-01
2018-12-10,"{'EUR': 0.1339782151, 'USD': 0.1530701108, 'GBP': 0.1209086403}",2018-01-01,DKK,2021-01-01
2018-12-11,"{'EUR': 0.1339746252, 'USD': 0.152449726, 'GBP': 0.1208826248}",2018-01-01,DKK,2021-01-01
2018-12-12,"{'EUR': 0.1339746252, 'USD': 0.1520076098, 'GBP': 0.1207580284}",2018-01-01,DKK,2021-01-01
2018-12-13,"{'EUR': 0.1339638566, 'USD': 0.1523303013, 'GBP': 0.1203638458}",2018-01-01,DKK,2021-01-01
2018-12-14,"{'EUR': 0.1339477068, 'USD': 0.1511599871, 'GBP': 0.1203319224}",2018-01-01,DKK,2021-01-01
2018-12-17,"{'EUR': 0.1339423244, 'USD': 0.1519039901, 'GBP': 0.1204007554}",2018-01-01,DKK,2021-01-01
2018-12-18,"{'EUR': 0.1339136257, 'USD': 0.152353532, 'GBP': 0.1201406093}",2018-01-01,DKK,2021-01-01
2018-12-19,"{'EUR': 0.1339118324, 'USD': 0.1527264449, 'GBP': 0.1209464888}",2018-01-01,DKK,2021-01-01
2018-12-20,"{'EUR': 0.1339190058, 'USD': 0.1533506535, 'GBP': 0.1209757339}",2018-01-01,DKK,2021-01-01
2018-12-21,"{'EUR': 0.1339225927, 'USD': 0.1528592474, 'GBP': 0.120818267}",2018-01-01,DKK,2021-01-01
2018-12-24,"{'EUR': 0.1339351486, 'USD': 0.1527932175, 'GBP': 0.1205925291}",2018-01-01,DKK,2021-01-01
2018-12-27,"{'EUR': 0.1339190058, 'USD': 0.1523596529, 'GBP': 0.1206248661}",2018-01-01,DKK,2021-01-01
2018-12-28,"{'EUR': 0.1339172124, 'USD': 0.1533887751, 'GBP': 0.1208910851}",2018-01-01,DKK,2021-01-01
2018-12-31,"{'EUR': 0.1339172124, 'USD': 0.1533352082, 'GBP': 0.119792964}",2018-01-01,DKK,2021-01-01
2019-01-02,"{'EUR': 0.1339243863, 'USD': 0.1526336231, 'GBP': 0.1207529229}",2018-01-01,DKK,2021-01-01
2019-01-03,"{'EUR': 0.1339136257, 'USD': 0.1519651825, 'GBP': 0.1209400737}",2018-01-01,DKK,2021-01-01
2019-01-04,"{'EUR': 0.133906453, 'USD': 0.1526935283, 'GBP': 0.1204997389}",2018-01-01,DKK,2021-01-01
2019-01-07,"{'EUR': 0.1339136257, 'USD': 0.1532641446, 'GBP': 0.120147305}",2018-01-01,DKK,2021-01-01
2019-01-08,"{'EUR': 0.1339351486, 'USD': 0.15322181, 'GBP': 0.1201974204}",2018-01-01,DKK,2021-01-01
2019-01-09,"{'EUR': 0.1339387364, 'USD': 0.1534268226, 'GBP': 0.1204283361}",2018-01-01,DKK,2021-01-01
2019-01-10,"{'EUR': 0.133949501, 'USD': 0.1545107494, 'GBP': 0.1211211573}",2018-01-01,DKK,2021-01-01
2019-01-11,"{'EUR': 0.1339710355, 'USD': 0.1545087952, 'GBP': 0.1205940276}",2018-01-01,DKK,2021-01-01
2019-01-14,"{'EUR': 0.1339782151, 'USD': 0.1536328193, 'GBP': 0.1195929742}",2018-01-01,DKK,2021-01-01
2019-01-15,"{'EUR': 0.1339800102, 'USD': 0.1530587636, 'GBP': 0.1192757041}",2018-01-01,DKK,2021-01-01
2019-01-16,"{'EUR': 0.1339728303, 'USD': 0.1525816564, 'GBP': 0.1186865304}",2018-01-01,DKK,2021-01-01
2019-01-17,"{'EUR': 0.1339602674, 'USD': 0.1526611207, 'GBP': 0.118233332}",2018-01-01,DKK,2021-01-01
2019-01-18,"{'EUR': 0.1339602674, 'USD': 0.1527414969, 'GBP': 0.1180524856}",2018-01-01,DKK,2021-01-01
2019-01-21,"{'EUR': 0.1339423244, 'USD': 0.152185269, 'GBP': 0.1182750907}",2018-01-01,DKK,2021-01-01
2019-01-22,"{'EUR': 0.1339243863, 'USD': 0.1520577482, 'GBP': 0.1178534599}",2018-01-01,DKK,2021-01-01
2019-01-23,"{'EUR': 0.1339279735, 'USD': 0.1522359275, 'GBP': 0.1168026036}",2018-01-01,DKK,2021-01-01
2019-01-24,"{'EUR': 0.1339423244, 'USD': 0.1519039901, 'GBP': 0.1166436732}",2018-01-01,DKK,2021-01-01
2019-01-25,"{'EUR': 0.1339333548, 'USD': 0.1519607843, 'GBP': 0.1159594986}",2018-01-01,DKK,2021-01-01
2019-01-28,"{'EUR': 0.133954884, 'USD': 0.1529496865, 'GBP': 0.1163907196}",2018-01-01,DKK,2021-01-01
2019-01-29,"{'EUR': 0.1339584729, 'USD': 0.1530073677, 'GBP': 0.1161888814}",2018-01-01,DKK,2021-01-01
2019-01-30,"{'EUR': 0.1339620619, 'USD': 0.1531052406, 'GBP': 0.1170038045}",2018-01-01,DKK,2021-01-01
2019-01-31,"{'EUR': 0.1339459126, 'USD': 0.1538770644, 'GBP': 0.1173071514}",2018-01-01,DKK,2021-01-01
2019-02-01,"{'EUR': 0.1339512953, 'USD': 0.1536555308, 'GBP': 0.1177271144}",2018-01-01,DKK,2021-01-01
2019-02-04,"{'EUR': 0.1339512953, 'USD': 0.1533072575, 'GBP': 0.1174458167}",2018-01-01,DKK,2021-01-01
2019-02-05,"{'EUR': 0.1339584729, 'USD': 0.1530207636, 'GBP': 0.1176195579}",2018-01-01,DKK,2021-01-01
2019-02-06,"{'EUR': 0.133954884, 'USD': 0.1526281948, 'GBP': 0.1177061566}",2018-01-01,DKK,2021-01-01
2019-02-07,"{'EUR': 0.1339836004, 'USD': 0.1520043947, 'GBP': 0.1175706094}",2018-01-01,DKK,2021-01-01
2019-02-08,"{'EUR': 0.1339871908, 'USD': 0.1520218667, 'GBP': 0.1172253933}",2018-01-01,DKK,2021-01-01
2019-02-11,"{'EUR': 0.1339818053, 'USD': 0.1515200236, 'GBP': 0.1173881587}",2018-01-01,DKK,2021-01-01
2019-02-12,"{'EUR': 0.1340069416, 'USD': 0.1513742412, 'GBP': 0.1175307881}",2018-01-01,DKK,2021-01-01
2019-02-13,"{'EUR': 0.1340159211, 'USD': 0.1515049988, 'GBP': 0.1173349594}",2018-01-01,DKK,2021-01-01
2019-02-14,"{'EUR': 0.1340213094, 'USD': 0.1510152114, 'GBP': 0.1178650405}",2018-01-01,DKK,2021-01-01
2019-02-15,"{'EUR': 0.1340266981, 'USD': 0.1509140621, 'GBP': 0.1178603978}",2018-01-01,DKK,2021-01-01
2019-02-18,"{'EUR': 0.1340123291, 'USD': 0.1518091664, 'GBP': 0.1174216028}",2018-01-01,DKK,2021-01-01
2019-02-19,"{'EUR': 0.1340141251, 'USD': 0.1513555529, 'GBP': 0.116840215}",2018-01-01,DKK,2021-01-01
2019-02-20,"{'EUR': 0.1340231056, 'USD': 0.1520090064, 'GBP': 0.1165263891}",2018-01-01,DKK,2021-01-01
2019-02-21,"{'EUR': 0.1340141251, 'USD': 0.1521596376, 'GBP': 0.1163309613}",2018-01-01,DKK,2021-01-01
2019-02-22,"{'EUR': 0.1340123291, 'USD': 0.1517689627, 'GBP': 0.1169431788}",2018-01-01,DKK,2021-01-01
2019-02-25,"{'EUR': 0.1340213094, 'USD': 0.1521811968, 'GBP': 0.1163680225}",2018-01-01,DKK,2021-01-01
2019-02-26,"{'EUR': 0.1340195132, 'USD': 0.152259569, 'GBP': 0.1153304921}",2018-01-01,DKK,2021-01-01
2019-02-27,"{'EUR': 0.1340284945, 'USD': 0.1526048438, 'GBP': 0.1145983836}",2018-01-01,DKK,2021-01-01
2019-02-28,"{'EUR': 0.1340284945, 'USD': 0.1530069293, 'GBP': 0.1150433582}",2018-01-01,DKK,2021-01-01
2019-03-01,"{'EUR': 0.1340249018, 'USD': 0.1525605457, 'GBP': 0.1152185276}",2018-01-01,DKK,2021-01-01
2019-03-04,"{'EUR': 0.1340195132, 'USD': 0.1519379222, 'GBP': 0.1149552375}",2018-01-01,DKK,2021-01-01
2019-03-05,"{'EUR': 0.1340231056, 'USD': 0.1518347763, 'GBP': 0.1157396735}",2018-01-01,DKK,2021-01-01
2019-03-06,"{'EUR': 0.1340320873, 'USD': 0.1515232747, 'GBP': 0.1152273854}",2018-01-01,DKK,2021-01-01
2019-03-07,"{'EUR': 0.1340302908, 'USD': 0.1510655408, 'GBP': 0.1151052138}",2018-01-01,DKK,2021-01-01
2019-03-08,"{'EUR': 0.1340482574, 'USD': 0.1504289544, 'GBP': 0.1151541555}",2018-01-01,DKK,2021-01-01
2019-03-11,"{'EUR': 0.1340338838, 'USD': 0.1507076989, 'GBP': 0.1155908214}",2018-01-01,DKK,2021-01-01
2019-03-12,"{'EUR': 0.1340446637, 'USD': 0.1511353583, 'GBP': 0.1154727755}",2018-01-01,DKK,2021-01-01
2019-03-13,"{'EUR': 0.1340464605, 'USD': 0.1515127143, 'GBP': 0.1151191003}",2018-01-01,DKK,2021-01-01
2019-03-14,"{'EUR': 0.1340051458, 'USD': 0.1513588122, 'GBP': 0.1142099057}",2018-01-01,DKK,2021-01-01
2019-03-15,"{'EUR': 0.1339871908, 'USD': 0.1515127154, 'GBP': 0.114445159}",2018-01-01,DKK,2021-01-01
2019-03-18,"{'EUR': 0.1340105332, 'USD': 0.1520885542, 'GBP': 0.1147934228}",2018-01-01,DKK,2021-01-01
2019-03-19,"{'EUR': 0.1340051458, 'USD': 0.1522030446, 'GBP': 0.1146387221}",2018-01-01,DKK,2021-01-01
2019-03-20,"{'EUR': 0.1340051458, 'USD': 0.1521494425, 'GBP': 0.1156196398}",2018-01-01,DKK,2021-01-01
2019-03-21,"{'EUR': 0.1340015544, 'USD': 0.15258757, 'GBP': 0.1161123469}",2018-01-01,DKK,2021-01-01
2019-03-22,"{'EUR': 0.1340087374, 'USD': 0.151456675, 'GBP': 0.1151001045}",2018-01-01,DKK,2021-01-01
2019-03-25,"{'EUR': 0.1339656512, 'USD': 0.1517161, 'GBP': 0.1147255044}",2018-01-01,DKK,2021-01-01
2019-03-26,"{'EUR': 0.1339512953, 'USD': 0.1512444075, 'GBP': 0.1143006403}",2018-01-01,DKK,2021-01-01
2019-03-27,"{'EUR': 0.1339333548, 'USD': 0.1508223508, 'GBP': 0.1140013929}",2018-01-01,DKK,2021-01-01
2019-03-28,"{'EUR': 0.1339459126, 'USD': 0.1502605248, 'GBP': 0.1145974256}",2018-01-01,DKK,2021-01-01
2019-03-29,"{'EUR': 0.133954884, 'USD': 0.1504983122, 'GBP': 0.1149734769}",2018-01-01,DKK,2021-01-01
2019-04-01,"{'EUR': 0.1339746252, 'USD': 0.1505338889, 'GBP': 0.1147599845}",2018-01-01,DKK,2021-01-01
2019-04-02,"{'EUR': 0.1339656512, 'USD': 0.1500415294, 'GBP': 0.11521046}",2018-01-01,DKK,2021-01-01
2019-04-03,"{'EUR': 0.1339710355, 'USD': 0.1506236352, 'GBP': 0.1143978672}",2018-01-01,DKK,2021-01-01
2019-04-04,"{'EUR': 0.1339782151, 'USD': 0.1503101596, 'GBP': 0.1144415118}",2018-01-01,DKK,2021-01-01
2019-04-05,"{'EUR': 0.1339656512, 'USD': 0.150483616, 'GBP': 0.1151274013}",2018-01-01,DKK,2021-01-01
2019-04-08,"{'EUR': 0.1339566784, 'USD': 0.1506476805, 'GBP': 0.1154478842}",2018-01-01,DKK,2021-01-01
2019-04-09,"{'EUR': 0.1339584729, 'USD': 0.1510649699, 'GBP': 0.1156530476}",2018-01-01,DKK,2021-01-01
2019-04-10,"{'EUR': 0.133954884, 'USD': 0.1510877137, 'GBP': 0.1153123828}",2018-01-01,DKK,2021-01-01
2019-04-11,"{'EUR': 0.1339620619, 'USD': 0.1508948666, 'GBP': 0.1154324295}",2018-01-01,DKK,2021-01-01
2019-04-12,"{'EUR': 0.1339710355, 'USD': 0.1516686092, 'GBP': 0.1156036065}",2018-01-01,DKK,2021-01-01
2019-04-15,"{'EUR': 0.1339782151, 'USD': 0.1515695548, 'GBP': 0.1156298986}",2018-01-01,DKK,2021-01-01
2019-04-16,"{'EUR': 0.1339728303, 'USD': 0.1514562847, 'GBP': 0.1157391281}",2018-01-01,DKK,2021-01-01
2019-04-17,"{'EUR': 0.133954884, 'USD': 0.1513824144, 'GBP': 0.1159955527}",2018-01-01,DKK,2021-01-01
2019-04-18,"{'EUR': 0.1339351486, 'USD': 0.1506770422, 'GBP': 0.115813723}",2018-01-01,DKK,2021-01-01
2019-04-23,"{'EUR': 0.1339423244, 'USD': 0.1506181438, 'GBP': 0.1157931395}",2018-01-01,DKK,2021-01-01
2019-04-24,"{'EUR': 0.1339297672, 'USD': 0.1501218761, 'GBP': 0.115909517}",2018-01-01,DKK,2021-01-01
2019-04-25,"{'EUR': 0.1339351486, 'USD': 0.1489760658, 'GBP': 0.1157668457}",2018-01-01,DKK,2021-01-01
2019-04-26,"{'EUR': 0.1339512953, 'USD': 0.1491279771, 'GBP': 0.1156535484}",2018-01-01,DKK,2021-01-01
2019-04-29,"{'EUR': 0.133954884, 'USD': 0.1493596957, 'GBP': 0.1156566468}",2018-01-01,DKK,2021-01-01
2019-04-30,"{'EUR': 0.1339656512, 'USD': 0.1502826675, 'GBP': 0.1155426949}",2018-01-01,DKK,2021-01-01
2019-05-02,"{'EUR': 0.133949501, 'USD': 0.1501841806, 'GBP': 0.1151028062}",2018-01-01,DKK,2021-01-01
2019-05-03,"{'EUR': 0.1339459126, 'USD': 0.1494166656, 'GBP': 0.1149055012}",2018-01-01,DKK,2021-01-01
2019-05-06,"{'EUR': 0.1339369425, 'USD': 0.1499959819, 'GBP': 0.1144759047}",2018-01-01,DKK,2021-01-01
2019-05-07,"{'EUR': 0.1339459126, 'USD': 0.1498185033, 'GBP': 0.1147179769}",2018-01-01,DKK,2021-01-01
2019-05-08,"{'EUR': 0.1339459126, 'USD': 0.1500462113, 'GBP': 0.1153207335}",2018-01-01,DKK,2021-01-01
2019-05-09,"{'EUR': 0.1339423244, 'USD': 0.1499216437, 'GBP': 0.1153511298}",2018-01-01,DKK,2021-01-01
2019-05-10,"{'EUR': 0.1339441185, 'USD': 0.1504192451, 'GBP': 0.1155268022}",2018-01-01,DKK,2021-01-01
2019-05-13,"{'EUR': 0.1339261799, 'USD': 0.1505999893, 'GBP': 0.1156452563}",2018-01-01,DKK,2021-01-01
2019-05-14,"{'EUR': 0.1338849393, 'USD': 0.1502992328, 'GBP': 0.1161090359}",2018-01-01,DKK,2021-01-01
2019-05-15,"{'EUR': 0.1338777696, 'USD': 0.1497155097, 'GBP': 0.1162326796}",2018-01-01,DKK,2021-01-01
2019-05-16,"{'EUR': 0.1339082461, 'USD': 0.1500174081, 'GBP': 0.1171201693}",2018-01-01,DKK,2021-01-01
2019-05-17,"{'EUR': 0.1339100392, 'USD': 0.1496042958, 'GBP': 0.1172984989}",2018-01-01,DKK,2021-01-01
2019-05-20,"{'EUR': 0.1339028669, 'USD': 0.1495293314, 'GBP': 0.1173256919}",2018-01-01,DKK,2021-01-01
2019-05-21,"{'EUR': 0.1338956953, 'USD': 0.1494409855, 'GBP': 0.1173060186}",2018-01-01,DKK,2021-01-01
2019-05-22,"{'EUR': 0.1339046599, 'USD': 0.1495848956, 'GBP': 0.1182110337}",2018-01-01,DKK,2021-01-01
2019-05-23,"{'EUR': 0.1338974881, 'USD': 0.149148412, 'GBP': 0.117963687}",2018-01-01,DKK,2021-01-01
2019-05-24,"{'EUR': 0.1339082461, 'USD': 0.1498031549, 'GBP': 0.1182650848}",2018-01-01,DKK,2021-01-01
2019-05-27,"{'EUR': 0.1338903171, 'USD': 0.149930377, 'GBP': 0.1181247322}",2018-01-01,DKK,2021-01-01
2019-05-28,"{'EUR': 0.1338885244, 'USD': 0.1498480365, 'GBP': 0.1183213057}",2018-01-01,DKK,2021-01-01
2019-05-29,"{'EUR': 0.1338921097, 'USD': 0.1493700376, 'GBP': 0.1181263138}",2018-01-01,DKK,2021-01-01
2019-05-30,"{'EUR': 0.1338921097, 'USD': 0.149075475, 'GBP': 0.1180633845}",2018-01-01,DKK,2021-01-01
2019-05-31,"{'EUR': 0.1339046599, 'USD': 0.1493170862, 'GBP': 0.11876406}",2018-01-01,DKK,2021-01-01
2019-06-03,"{'EUR': 0.1339046599, 'USD': 0.1497723621, 'GBP': 0.1186636315}",2018-01-01,DKK,2021-01-01
2019-06-04,"{'EUR': 0.133906453, 'USD': 0.1505644157, 'GBP': 0.1188259082}",2018-01-01,DKK,2021-01-01
2019-06-05,"{'EUR': 0.1339010739, 'USD': 0.1507324389, 'GBP': 0.1186778608}",2018-01-01,DKK,2021-01-01
2019-06-06,"{'EUR': 0.1338921097, 'USD': 0.1508428508, 'GBP': 0.1185721745}",2018-01-01,DKK,2021-01-01
2019-06-07,"{'EUR': 0.1339046599, 'USD': 0.1509507231, 'GBP': 0.1187399572}",2018-01-01,DKK,2021-01-01
2019-06-10,"{'EUR': 0.1339010739, 'USD': 0.1513216036, 'GBP': 0.1195040304}",2018-01-01,DKK,2021-01-01
2019-06-11,"{'EUR': 0.1338921097, 'USD': 0.1515658682, 'GBP': 0.119277786}",2018-01-01,DKK,2021-01-01
2019-06-12,"{'EUR': 0.1339082461, 'USD': 0.151624307, 'GBP': 0.1189172179}",2018-01-01,DKK,2021-01-01
2019-06-13,"{'EUR': 0.1339082461, 'USD': 0.151169019, 'GBP': 0.1191087067}",2018-01-01,DKK,2021-01-01
2019-06-14,"{'EUR': 0.1339118324, 'USD': 0.1508516793, 'GBP': 0.1193060689}",2018-01-01,DKK,2021-01-01
2019-06-17,"{'EUR': 0.133915419, 'USD': 0.1504405817, 'GBP': 0.119463267}",2018-01-01,DKK,2021-01-01
2019-06-18,"{'EUR': 0.1339190058, 'USD': 0.1498151918, 'GBP': 0.1197276087}",2018-01-01,DKK,2021-01-01
2019-06-19,"{'EUR': 0.1339207992, 'USD': 0.1500850397, 'GBP': 0.1192162955}",2018-01-01,DKK,2021-01-01
2019-06-20,"{'EUR': 0.1339387364, 'USD': 0.1514445293, 'GBP': 0.1194130805}",2018-01-01,DKK,2021-01-01
2019-06-21,"{'EUR': 0.1339459126, 'USD': 0.1515731947, 'GBP': 0.1197811324}",2018-01-01,DKK,2021-01-01
2019-06-24,"{'EUR': 0.1339351486, 'USD': 0.1526057083, 'GBP': 0.1196911455}",2018-01-01,DKK,2021-01-01
2019-06-25,"{'EUR': 0.1339512953, 'USD': 0.1525437351, 'GBP': 0.1198663166}",2018-01-01,DKK,2021-01-01
2019-06-26,"{'EUR': 0.1339566784, 'USD': 0.152201578, 'GBP': 0.1200292026}",2018-01-01,DKK,2021-01-01
2019-06-27,"{'EUR': 0.1339746252, 'USD': 0.1523291489, 'GBP': 0.1198108278}",2018-01-01,DKK,2021-01-01
2019-06-28,"{'EUR': 0.1339836004, 'USD': 0.1524733373, 'GBP': 0.1201229969}",2018-01-01,DKK,2021-01-01
2019-07-01,"{'EUR': 0.1339638566, 'USD': 0.1520355808, 'GBP': 0.1201896928}",2018-01-01,DKK,2021-01-01
2019-07-02,"{'EUR': 0.1339782151, 'USD': 0.1514087809, 'GBP': 0.119834135}",2018-01-01,DKK,2021-01-01
